FILE_ID,CATEGORY_ID0,CATEGORY_ID1,CATEGORY_ID2
5e8afa0c9059004d731453a707f44144,9,13,7
c21e68fdb31758974e7228a1947d47c8,7,16,18
f5b3cdd65b9cba79acce4b409a80c09d,11,13,6
923b16281692ccc3e0b0eba543f11ac5,4,10,17
a785efb44a2d7eadc0ce81cef6d7d248,17,19,5
74c23b60a133fcdfad689ff0d1845cee,16,7,11
583cb2478a9fdae34bcc8746800b7e49,6,14,5
7f2ea5be7ef292d43db0c446b6a72def,3,15,2
6032eec3539d2e0f6b992358c4456141,7,16,8
4a29f9f49691ea86fcb02d8f999d4bba,19,17,5
9df9f1be3dfcb11d5d28e8a93f966b58,1,3,2
85d97e50d7eeb2d4d521bcf01ee62d26,6,14,5
5f2270065b26a84c3b6c8beba1757330,0,11,19
9c4061c456b48e9ea635164b98c64074,6,14,5
87e917cf4351cd40b7885f091e03c8e7,2,8,3
970a4504f8d3ab0272a6a1941de6dc92,6,14,17
85c4a97f1cbae9f169bb45cfa4f2b91c,14,5,11
77c4c97b140a8fdf82ae99f292e29fcb,4,10,1
8244ed7fa7f0196747f2a3b97e1d709b,4,10,3
f16980c962aa600b3326e9bba4b8d05d,14,6,17
87ca0d4668b980038673ecdce872bcf9,3,12,1
3dbdef71ac4e5567a4e1d160545afe5f,3,15,12
03fad11928d562ce41c53bc1a1913296,5,7,19
0864be5afc13f88b9e749b8218d6789a,8,10,14
666f093039e9a5311e9e405afb39b974,4,10,3
16b35bbde1bafb85a0bd0a646dd17438,15,0,18
7eb18db70c5be5318fbb82aa29d071c5,12,1,3
9eaf26fff3dece063e82fc0d67e31dd4,16,7,10
ee4ffc71ecb337a97198ec463304f66d,14,17,5
464c09c586483ae2b705e08db955cc0c,8,18,14
ad94f71c0165de4e9ac7eed06600c9f6,3,15,12
b46abaac967f24522b4949190c02a87a,4,10,3
bbca2c45fcd0baf37a37bfd57c5da881,1,10,3
3fddd8ff74838a83ef956eabddc0618e,1,3,15
76570338ca85380dddd56130578669c8,0,15,11
cfc96eef9002d9e0a55fa848947e53b4,18,17,19
17e34cab277eb3e62b8be0551d751fda,16,7,9
bd68ab75d0e1ab660cc2d87fe99c7f8c,2,12,1
